Cluster,StoreNumber,StoreName,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
3,1847,CHARLOTTE ATHERTON M  ,CHARLOTTE,28203,NC,A1,LIFESTYLE CENTER,MILD,EAST COAST-MID-ATLANTIC DISTRICT,35.2087528,-80.8607778,14987240.65,9124553.55
3,1868,"KNOXVILLE, TN  ",KNOXVILLE,37919,TN,F,UNKNOWN,MILD,EAST COAST-MID-ATLANTIC DISTRICT,35.9367207,-83.990713,4014865.03,2559511.91
3,1874,"NASHVILLE, TN  ",NASHVILLE,37203,TN,F,METRO,,EAST COAST-MID-ATLANTIC DISTRICT,36.1605041,-86.7799532,15579286.97,9247153.65
3,1880,"BATON ROUGE, LA  ",BATON ROUGE,70810,LA,UNKNOWN,UNKNOWN,,EAST COAST-SOUTHEAST DISTRICT,30.3789585,-91.0942794,2568608.49,1776340.39
3,1884,"CARY, NC  ",CARY,27511,NC,UNKNOWN,UNKNOWN,,EAST COAST-MID-ATLANTIC DISTRICT,35.7811681,-78.758213,10457026.2,6344707.73
3,878,INDIANAPOLIS  FASHION  ,INDIANAPOLIS,46240,IN,F,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,39.9139901,-86.1093871,9819626.45,6006068.74
3,1857,"LEXINGTON, KY  ",LEXINGTON,40517,KY,C2,LIFESTYLE CENTER,COLD,CENTRAL-MID-WEST DISTRICT,37.9777842,-84.5260468,2155503.08,1453184.29
3,1829,ST LOUIS MO GALLERIA  ,ST. LOUIS,63117,MO,A1,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,38.6354047,-90.3484533,8108244.37,4911480.61
3,6010,FP MOV FORT WORTH TX  ,FORT WORTH,76107,TX,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,32.7286945,-97.3633408,9280858.71,5858797.83
3,1872,"TULSA, OK  ",TULSA,74105,OK,UNKNOWN,LIFESTYLE CENTER,MILD,CENTRAL-MOUNTAIN DISTRICT,36.112936,-95.9758593,3336672.95,2181727.66
3,1881,"SOUTHLAKE, TX  ",SOUTHLAKE,76092,TX,F,UNKNOWN,,CENTRAL-TEXAS,32.942579,-97.1298603,14118724.91,8702705.29
3,1856,"WOODLANDS, TX  ",THE WOODLANDS,77380,TX,A2,TRADITIONAL MALL,HOT,CENTRAL-TEXAS,30.163701,-95.4542747,6017063.8,3939768.12
3,6029,"FP MOV DALLAS, TX  ",DALLAS,75226,TX,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,32.783341,-96.785554,19299669.74,11627219.99
3,1865,"PARK CITY, UT  ",PARK CITY,84060,UT,F,LIFESTYLE CENTER,COLD,CENTRAL-MOUNTAIN DISTRICT,40.6460622,-111.4979729,6925577.55,4054657.51
