Cluster,StoreNumber,StoreName,Latitude,Longitude,CLASS_FP_KNIT_TOPS,CLASS_FP_JEANS,CLASS_FP_W_DRESSES,CLASS_FP_BEACH,CLASS_FP_ENDLESS_SUMMER,CLASS_FP_SWEATERS,CLASS_FP_WOVEN_BLOUSES,CLASS_FP_PANTS,CLASS_FP_BOOTS,CLASS_FP_W_HEAVY_KNITS,CLASS_FP_BLAZERS___JACKETS,CLASS_FP_CASUAL_OUTERWEAR,CLASS_FP_ATHLETIC,CLASS_FP_SHORTS,CLASS_FP_TREND_SHOES,CLASS_FP_OUTERWEAR,CLASS_FP_SKIRTS,CLASS_FP_PERFORMANCE_SHORTS,CLASS_FP_W_PARTY_DRESSES,CLASS_FP_CASUAL_ONE_PIECES,CLASS_FP_SANDALS,CLASS_FP_PERFORMANCE_CAMIS,CLASS_FP_LOUNGE,CLASS_FP_SLIPS,CLASS_FP_BODY,CLASS_FP_JEWELRY,CLASS_FP_BRAS,CLASS_FP_FP_SCARVES,CLASS_FP_CASUAL_BOTTOMS,CLASS_FP_MOVEMENT_HEAVYWEIGHTS,CLASS_FP_PERFORMANCE_ONE_PIECES,CLASS_FP_HATS,CLASS_FP_PERFORMANCE_LEGGINGS,CLASS_FP_BELTS,CLASS_FP_CASUAL_LAYERING,CLASS_FP_BRAS___MOVEMENT,CLASS_FP_ONE_PIECE,CLASS_FP_SUNGLASSES,CLASS_FP_SWIM_TOPS,CLASS_FP_PERFORMANCE_OUTERWEAR,CLASS_FP_HAIR_ACCESSORIES,CLASS_FP_PERFORMANCE_LAYERING,CLASS_FP_SWIM_BOTTOMS,CLASS_FP_MOVEMENT_BAGS,CLASS_FP_CASUAL_SHORTS,CLASS_FP_CASUAL_SETS,CLASS_FP_SUNSUITS,CLASS_FP_PERFORMANCE_BOTTOMS,CLASS_FP_SURF_ONE_PIECE,CLASS_FP_UNDIES,CLASS_FP_UNDERWIRE_BRAS,CLASS_FP_PERFORMANCE_SETS,CLASS_SUITS,CLASS_FP_MOVEMENT_SOCKS,CLASS_FP_SURF_TOPS,CLASS_FP_IN_CASE_JEWELRY,CLASS_MOVEMENT_ACCESSORIES,CLASS_FP_SURF_BOTTOMS,CLASS_FP_MOVEMENT_HATS,CLASS_FP_MISC_ACCESSORIES
6,1824,"SARASOTA, FL  ",27.336465,-82.5310117,1.276298009,0.904850313,1.030014497,1.187490975,1.07526624,0.839419068,1.189328491,1.037581414,0.653452749,0.953444735,0.79389576,0.543070974,0.904906711,1.208826595,0.653143611,0.566929955,1.123016112,1.114787747,0.762253764,1.349019868,1.033177436,1.290717442,1.187833782,0.972684445,0.96359198,1.138571657,1.131627232,0.994574784,1.311781982,1.163126464,1.025998955,0.873288746,1.321144394,1.106930328,1.44568553,1.140802166,1.140044991,0.634624253,1.036182333,0.634402149,0.91851328,1.31341604,1.120884175,0.709641062,1.355921586,0.898796955,0.90399843,1.226499037,0.753798558,0.800268083,0.527042125,0.863217311,0.519783693,0.795675504,0.907963381,2.164807951,0.794392621,1.036794769,0.6969726,0.807443421
6,1831,FT LAUDERDALE GALLER  ,26.1365015,-80.1141879,1.118008344,0.960668207,1.113629685,1.135202109,1.231429839,0.613210904,1.022148077,1.067186008,0.765696627,0.74636718,0.875745543,0.428473897,1.13974065,1.144627542,0.916420709,0.633546274,1.172793526,0.877776462,1.009035335,1.367215361,0.975229873,1.247390576,1.218581721,1.136714732,1.017801322,1.067763737,1.023050309,1.036091532,1.377822133,0.812734842,1.559434791,0.662792075,1.247843015,1.099927284,1.03409485,1.235827679,0.986604979,0.934678709,0.746497294,0.756157236,1.094924884,1.254993407,0.777186992,0.926652511,1.221095749,1.285482403,0.983954759,1.195259479,1.103914333,0.683441685,0.768369191,1.022408443,1.114361316,0.737228161,0.731534012,0.729224489,0.794882848,0.65324379,0.549887698,1.282802649
6,1834,SAN JUAN PR MALL  ,18.4124832,-66.0258967,0.862682712,1.434879329,1.166216393,0.969622972,1.05400542,0.273483275,0.959047137,1.488438042,0.675506622,0.292386361,0.904426595,0.488038832,1.342782645,0.64810573,1.312432635,0.544198256,1.51576168,0.613556539,1.547110647,0.944583965,1.464790685,0.742311463,1.343894072,1.131187054,0.838643876,0.898206378,1.241736348,1.234375972,0.863928881,0.42679428,0.975818,0.544943548,0.857306545,1.338693942,0.638112217,1.324494597,1.03497612,0.502696423,1.607951972,1.383668576,1.510743483,0.779283161,1.67750747,0.809409315,0.903245123,0.53022033,1.173819625,0.894023068,1.512590685,0.708456325,0.544422548,1.152283406,1.35664927,0.45657773,1.700339281,0.438340304,0.72266085,1.727069026,0.489063946,0.435996593
6,1838,"NAPLES FL, WATERSIDE  ",26.2129388,-81.8026496,1.182744101,0.871730573,1.018402578,1.136971697,1.164965229,0.922664578,1.111872531,1.140646628,0.690266828,0.921062498,0.695989072,0.492587267,0.944771036,1.460883314,0.699526001,0.537593739,1.181015122,1.314523457,1.031237357,1.056408828,0.923554889,1.324829669,1.273177176,1.140560829,0.97503129,0.960229963,1.104231632,0.851264978,1.638534664,0.946230012,0.826268436,0.728503293,1.199606859,0.859921358,1.507619898,1.17911443,0.695416819,0.53435438,1.244201456,0.68802467,1.073524325,1.226577433,1.275352522,0.845431088,1.724606111,1.504340868,0.821590943,1.191265453,0.785118189,0.749676867,0.768895582,1.009417525,0.807867235,0.75066714,1.438156374,0.567938105,0.91083874,1.157047936,0.870332216,1.075745765
6,1839,DISNEY SPRINGS  ,28.3694433,-81.5176528,1.063491624,0.832381947,1.206184284,1.164814799,1.263925261,0.642266277,0.915488689,0.927520587,0.842032578,0.915790521,0.863676575,0.523488067,1.348096281,1.138970993,0.861607475,0.562223243,1.081136339,1.335337184,0.953269963,1.182237846,1.127106729,1.198410825,1.319779469,1.106517955,1.081595794,1.317488079,0.977956177,0.932973503,0.936695487,0.862157374,1.332139859,0.728817656,1.108205046,1.006203684,1.068821764,1.021963378,0.733430058,0.999186118,0.751619992,0.93037472,1.065206834,0.909741788,0.801752003,0.673854225,1.289622876,1.824254156,0.768473615,1.111567271,0.891805737,0.877506493,0.948910807,1.161696863,0.974499514,0.895416609,0.83890539,0.544461607,0.860016333,0.638473575,0.668549145,1.721986323
6,1869,"AVENTURA, FL  ",25.9572966,-80.145069,0.937902666,1.014978676,1.100413467,1.075125994,1.221458171,0.578289661,0.982123761,1.037857484,0.79952273,0.538977406,0.865850719,0.466715394,1.171395312,1.111441695,0.948248918,0.627709539,1.250882901,0.821204757,1.30928172,1.180330138,1.05811594,1.167346395,1.167720752,1.14549359,1.112518695,1.143452483,1.178418864,1.100644465,1.341460604,0.770468769,1.822256997,0.7887693,1.349069342,1.138806296,0.886664425,1.37446706,1.109340079,1.011802282,0.910619372,1.33175409,0.97209158,1.203610036,0.91504471,0.905437742,1.163588574,1.230867184,1.2552999,1.441224543,1.666188453,0.813063436,0.870637578,1.348805612,1.337420463,0.805244442,0.892870858,1.008393085,0.967388126,0.849101367,0.711610491,1.143845092
6,6003,FP MOV COCOWALK FL  ,25.7284622,-80.2421738,0.834023273,1.048449058,1.139740302,1.016300649,1.264084546,0.568199926,0.977543711,1.042218625,0.79627351,0.467933141,0.826761288,0.508262029,1.142262757,1.068350555,0.942170604,0.625640159,1.355341425,0.88882739,1.440854853,1.027941461,1.10656074,1.150247166,1.078423546,1.108589603,1.15041831,1.134763055,1.270355494,1.106319797,1.274416924,0.716425732,1.989796003,0.803909051,1.493057865,1.083203023,0.750665453,1.433933006,1.115189661,1.040820336,0.996352635,1.552586363,1.004349208,1.228072201,1.030441089,0.886860658,1.152276149,1.177130382,1.382303443,1.636774692,1.712194773,0.875643306,0.750460799,1.535996394,1.378651294,0.871380241,0.953616448,0.957903789,1.022035596,0.89672328,0.686662667,1.01876548
6,6024,FP MOV MIAMI FL  ,25.6903883,-80.3140917,0.827443615,1.057893176,1.140324859,0.999265734,1.264802871,0.562997651,0.978605761,1.023599065,0.785214709,0.468737961,0.817818904,0.544287716,1.127324938,1.066257936,0.915977795,0.616735199,1.349391422,0.916476307,1.516553112,1.030757919,1.083581879,1.186357997,1.06205052,1.079599547,1.145460611,1.161999814,1.277380678,1.096265973,1.299457733,0.695413584,1.979373258,0.841045037,1.535794654,1.046221371,0.763770696,1.473751213,1.118556291,1.064863371,1.052506777,1.46864131,1.013417101,1.230611591,1.083584635,0.941243847,1.184310381,1.123542916,1.387792598,1.687833436,1.652506524,0.882010878,0.763251981,1.553327421,1.394696718,0.911045724,0.947425489,0.911626229,1.018880166,0.899174933,0.705133659,0.973841207
6,6025,FP MOV BOCA RATON FL  ,26.3652588,-80.1327395,1.174035039,0.893564036,1.115965939,1.094279148,1.19571118,0.611785092,1.085702491,1.001742332,0.736495843,0.810518579,0.77330721,0.43654386,1.077141064,1.16065854,0.861778992,0.615221761,1.176315976,1.025120892,1.057448348,1.502860409,0.858710817,1.416869555,1.219748082,1.145937253,1.027833371,1.004973669,1.058379647,0.985903177,1.411081147,0.920575077,1.663939423,0.688008733,1.325827177,0.927999505,1.378419001,1.266955831,0.8019647,0.827984179,0.886195111,0.579001354,1.140968567,1.525662004,0.906048256,0.966846432,1.359253763,1.179311925,1.033747481,1.210507267,0.863407028,0.730209476,0.792358725,1.269237698,0.791071269,0.917308958,0.751513997,1.077532957,0.863928594,0.643664658,0.580865662,0.897228709
6,1843,"HONOLULU, HI  ",21.2783472,-157.8265997,1.019462396,0.8142627,0.904118782,1.195740091,1.545601622,0.609924602,1.294734535,0.903546734,0.406230275,0.778606571,0.776957626,0.464371505,0.702655804,1.596466609,0.565842965,0.518431095,0.958968404,1.475961687,0.926388883,1.7436861,1.027059689,1.856200516,1.237780104,1.185900648,0.763102162,0.897952236,1.405893738,0.932329418,1.292924188,0.700298718,1.453759188,0.751223756,0.94822036,0.788737107,1.106558138,1.78162243,0.900866528,0.810750488,1.349613741,0.967839196,1.303220703,0.93694924,1.284233313,1.458181043,2.119820769,1.112646587,0.5941281,1.636968097,3.427508648,1.155418857,0.752550286,1.028749762,0.579140989,0.744174176,4.213435089,1.21406324,2.056881291,2.78859587,0.672656773,1.179742078
