Cluster,StoreNumber,StoreName,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
5,1832,NEWTON MA CHESTNUTHL  ,NEWTON,2467,MA,B1,LIFESTYLE CENTER,COLD,EAST COAST-NEW ENGLAND,42.3189069,-71.1752159,32406105.23,18502952.54
5,1859,"BURLINGTON, VT  ",BURLINGTON,5401,VT,B3,METRO,COLD,EAST COAST-NEW ENGLAND,44.477898,-73.212351,1963134.46,1221723.96
5,1866,BOYLSTON ST.  ,BOSTON,2115,MA,F,METRO,COLD,EAST COAST-NEW ENGLAND,42.3484566,-71.0840861,32621269.74,18607229.57
5,1836,PORTLAND BREWERY BLK  ,PORTLAND,97209,OR,A1,LIFESTYLE CENTER,COLD,WEST COAST-NORTHWEST DISTRICT,45.5234936,-122.6825271,19982481.31,11185004.88
5,1840,"MADISON, WI HILLDALE  ",MADISON,53705,WI,F,TRADITIONAL MALL,COLD,CENTRAL-GREATER CHICAGO,43.073207,-89.4535335,3824580.98,2066634.26
5,1844,"EDINA, MN GALLERIA  ",EDINA,55435,MN,B1,TRADITIONAL MALL,COLD,CENTRAL-GREATER CHICAGO,44.8771833,-93.3248446,18594056.5,10377253.06
5,1849,"GRAND RAPIDS, MI  ",GRAND RAPIDS,49506,MI,C2,LIFESTYLE CENTER,COLD,CENTRAL-GREATER CHICAGO,42.9283235,-85.6074351,4057421.42,2428770.27
5,880,"TIGARD, OR BRIDGEPORT  ",TIGARD,97224,OR,C3,LIFESTYLE CENTER,COLD,WEST COAST-NORTHWEST DISTRICT,45.3969205,-122.751397,18344951.03,10143275.09
5,1850,"SPOKANE, WA  ",SPOKANE,99201,WA,C2,METRO,COLD,WEST COAST-NORTHWEST DISTRICT,47.6588694,-117.4242868,3029105.66,1752739.98
5,836,SEATTLE WA  UNIV VILL  ,SEATTLE,98105,WA,F,LIFESTYLE CENTER,COLD,WEST COAST-NORTHWEST DISTRICT,47.6634928,-122.2979606,25640419.28,14049020.49
5,826,"SEATTLE, WA   STEWART  ",SEATTLE,98101,WA,C3,METRO,COLD,WEST COAST-NORTHWEST DISTRICT,47.6103002,-122.3408604,25325208.18,13876444.61
5,1867,"LONE TREE, CO  ",LONE TREE,80124,CO,F,TRADITIONAL MALL,COLD,CENTRAL-MOUNTAIN DISTRICT,39.562587,-104.878022,27464206,15592010.05
5,6002,FP MOV BOULDER CO  ,BOULDER,80302,CO,UNKNOWN,LIFESTYLE CENTER,COLD,WEST COAST-MVMT - WEST COAST,40.0178501,-105.2796244,9782371.86,5779348.84
5,6027,"EDINA, MN  ",EDINA,55424,MN,UNKNOWN,UNKNOWN,,EAST COAST-MVMT - EAST COAST,44.913652,-93.3302072,18772662.23,10477298.88
5,1871,SANTA CRUZ  ,SANTA CRUZ,95060,CA,F,METRO,MILD,WEST COAST-NORTHERN CALIFORNIA,36.9757609,-122.0270512,4535608.47,2517816.19
5,1807,MALL AMER BLOOMINGTN  ,BLOOMINGTON,55425,MN,A2,TRADITIONAL MALL,COLD,CENTRAL-GREATER CHICAGO,44.8535309,-93.2431933,17912057.91,9967782.51
5,823,BELLEVUE SQUARE WA  ,BELLEVUE,98004,WA,F,TRADITIONAL MALL,COLD,WEST COAST-NORTHWEST DISTRICT,47.6202333,-122.2017028,25678053.06,14094995.42
5,838,"DENVER, CO CHERRY CRK  ",DENVER,80206,CO,A1,TRADITIONAL MALL,COLD,CENTRAL-MOUNTAIN DISTRICT,39.7168183,-104.9526302,30169438.15,17314123.09
5,859,"BOULDER, CO  PEARL ST  ",BOULDER,80302,CO,C3,METRO,COLD,CENTRAL-MOUNTAIN DISTRICT,40.017771,-105.2794813,9784568.56,5780959.94
5,6013,FP MOV BURLINGTON  ,BURLINGTON,1803,MA,UNKNOWN,UNKNOWN,,EAST COAST-MVMT - EAST COAST,42.4813385,-71.214302,31337215.33,17960339.44
5,6250,FP MOV TELLURIDE CO  ,TELLURIDE,81435,CO,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,37.9367644,-107.8473724,530446.11,278596.62
5,814,"BURLINGTON, MA   MALL  ",BURLINTON,1803,MA,B3,TRADITIONAL MALL,COLD,EAST COAST-NEW ENGLAND,42.482391,-71.2136759,31334830.21,17964260.78
5,831,"DEDHAM, MA  LEGACY PL  ",DEDHAM,2026,MA,F,LIFESTYLE CENTER,COLD,EAST COAST-NEW ENGLAND,42.2326678,-71.179733,31062152.87,17749315.82
5,849,NATICK MA NATICK COLL  ,NATICK,1760,MA,F,TRADITIONAL MALL,COLD,EAST COAST-NEW ENGLAND,42.3018646,-71.3836517,28732208.44,16441491.05
5,6292,FP COLL 6002 MVNT RET STR  ,BOULDER,80302,CO,UNKNOWN,UNKNOWN,,EAST COAST-DC DISTRICT,40.0178501,-105.2796244,9782371.86,5779348.84
