Cluster,StoreNumber,StoreName,Latitude,Longitude,CLASS_FP_KNIT_TOPS,CLASS_FP_JEANS,CLASS_FP_W_DRESSES,CLASS_FP_BEACH,CLASS_FP_ENDLESS_SUMMER,CLASS_FP_SWEATERS,CLASS_FP_WOVEN_BLOUSES,CLASS_FP_PANTS,CLASS_FP_BOOTS,CLASS_FP_W_HEAVY_KNITS,CLASS_FP_BLAZERS___JACKETS,CLASS_FP_CASUAL_OUTERWEAR,CLASS_FP_ATHLETIC,CLASS_FP_SHORTS,CLASS_FP_TREND_SHOES,CLASS_FP_OUTERWEAR,CLASS_FP_SKIRTS,CLASS_FP_PERFORMANCE_SHORTS,CLASS_FP_W_PARTY_DRESSES,CLASS_FP_CASUAL_ONE_PIECES,CLASS_FP_SANDALS,CLASS_FP_PERFORMANCE_CAMIS,CLASS_FP_LOUNGE,CLASS_FP_SLIPS,CLASS_FP_BODY,CLASS_FP_JEWELRY,CLASS_FP_BRAS,CLASS_FP_FP_SCARVES,CLASS_FP_CASUAL_BOTTOMS,CLASS_FP_MOVEMENT_HEAVYWEIGHTS,CLASS_FP_PERFORMANCE_ONE_PIECES,CLASS_FP_HATS,CLASS_FP_PERFORMANCE_LEGGINGS,CLASS_FP_BELTS,CLASS_FP_CASUAL_LAYERING,CLASS_FP_BRAS___MOVEMENT,CLASS_FP_ONE_PIECE,CLASS_FP_SUNGLASSES,CLASS_FP_SWIM_TOPS,CLASS_FP_PERFORMANCE_OUTERWEAR,CLASS_FP_HAIR_ACCESSORIES,CLASS_FP_PERFORMANCE_LAYERING,CLASS_FP_SWIM_BOTTOMS,CLASS_FP_MOVEMENT_BAGS,CLASS_FP_CASUAL_SHORTS,CLASS_FP_CASUAL_SETS,CLASS_FP_SUNSUITS,CLASS_FP_PERFORMANCE_BOTTOMS,CLASS_FP_SURF_ONE_PIECE,CLASS_FP_UNDIES,CLASS_FP_UNDERWIRE_BRAS,CLASS_FP_PERFORMANCE_SETS,CLASS_SUITS,CLASS_FP_MOVEMENT_SOCKS,CLASS_FP_SURF_TOPS,CLASS_FP_IN_CASE_JEWELRY,CLASS_MOVEMENT_ACCESSORIES,CLASS_FP_SURF_BOTTOMS,CLASS_FP_MOVEMENT_HATS,CLASS_FP_MISC_ACCESSORIES
1,1853,NYC WBWAY & SPRING  ,40.7237571,-74.0021582,0.933930573,1.002438468,1.025036615,1.027908664,1.099136631,0.929460913,0.95379019,1.063172404,1.026849871,0.82948113,0.986020385,0.92038799,0.972639991,0.94905098,1.222392911,1.157390927,1.076625478,0.546872611,1.090094969,0.752506282,1.073463967,0.698799735,0.968420934,1.072504305,1.123308379,1.021256099,1.019215903,1.055253872,0.884850032,0.797267764,0.844500301,1.099167605,0.847492231,1.004957062,0.784581374,0.836125564,1.141449358,1.222731138,1.231566066,1.141637265,1.073548009,0.732384817,1.221812018,0.982049522,0.839062204,0.836318331,1.243901594,0.978435644,0.949871187,1.106572115,1.143573878,0.902290282,1.264546988,0.959375834,1.0290405,1.099479951,1.005481403,1.03192409,1.053251389,0.782916582
1,6035,"FP MOV TIBURON, CA  ",37.8734076,-122.4566095,0.886932128,1.229103813,0.934975653,0.854579498,0.907826102,1.023051882,0.956479945,0.99898116,0.961129811,0.815843998,1.23310724,1.393534185,0.871053551,0.842105482,1.182874574,1.230241625,0.94752794,0.517384134,1.111029931,0.785086343,0.884180343,0.824930054,0.797922302,1.10470332,1.022705356,0.926011082,1.288792756,1.020485829,0.84777124,0.825942403,0.699957555,1.032985916,0.929194177,0.950226122,0.851229277,0.796051449,1.363690223,1.167970698,1.241668262,1.087739048,1.059251482,1.017013614,1.247541393,0.868574498,0.621047482,0.506952343,0.983866247,0.988315022,1.298004008,1.276872027,1.338931628,0.894309784,0.862692774,1.030473,1.061343412,1.93394841,1.07438806,1.112409329,0.930981059,0.989872085
1,853,LAS VEGAS FASHIONMALL  ,36.1285927,-115.1741869,1.132708562,0.981573032,1.046264615,1.167250707,1.038462203,0.928466585,0.884714958,1.079997221,0.862626326,1.160521267,1.041616106,0.749418097,0.959616741,0.989095433,0.804658836,0.890825704,0.936170203,0.79785939,0.793812114,1.653789476,1.007444697,1.108483178,1.210496792,1.051005273,0.969330294,1.084478738,0.949470011,0.959746893,1.413042504,0.971954436,0.979220778,0.95687692,1.045469303,1.057170242,1.029283569,0.932237114,0.777895977,0.847481192,0.762415613,0.406649805,1.010335151,0.945614674,0.788828983,0.961611873,1.099046824,1.572352117,0.913993055,1.134619554,0.790576167,0.592132568,0.723202514,0.737329619,1.124305152,1.044729179,0.570005172,0.880368319,0.954267157,0.531408951,0.87422405,0.768292654
1,1809,SAN DIEGO U TOWN CTR  ,32.8710546,-117.2114223,1.024674996,1.070398139,1.059092267,0.993016396,1.022371462,0.983130464,1.024201252,0.934415571,0.99520976,0.940173331,1.043444714,0.933406731,0.911836402,1.148377839,0.906557183,0.93637405,1.036364645,0.746791558,0.992460079,0.840007615,0.959430693,1.066492829,0.957619637,1.134616626,0.946350642,0.955902962,1.128847922,0.907807952,1.014638021,0.840429896,0.912531299,1.045900907,0.993185351,0.921064556,0.987611886,1.11591199,1.042154333,0.959906911,1.101509991,0.794427195,0.973315508,0.899093942,1.104143308,0.93781472,0.806422797,0.850292914,1.001865207,1.071111062,1.464335619,0.961320744,0.837275425,1.110898122,0.92522141,0.80057486,1.092230651,1.002733556,0.834705629,1.084873818,0.783382852,0.965870392
1,1817,SAN DIEGO FASHIONVLY  ,32.7681182,-117.1667284,0.984645767,1.029694304,1.073358755,1.019609702,1.06278817,0.93116745,1.023563334,0.942823805,1.005237003,0.92897678,1.015853293,0.95235635,0.953942169,1.138835232,0.91488035,0.958172113,1.040652456,0.711843586,1.005074608,0.892472179,0.992448662,1.142185239,0.962015419,1.198997141,0.963821466,0.990970189,1.152778024,0.954659953,0.964306956,0.832991902,0.959363086,1.033348802,0.971720338,0.969871484,0.952760616,1.105074825,0.971831532,0.979945096,1.050843481,0.712195772,0.98625367,0.908091362,1.053648136,0.924834428,0.791449967,0.819078843,1.030107619,1.087103415,1.353389852,0.930265157,0.839892679,1.104237725,0.907562742,0.865092705,1.035532904,1.075103506,0.87386575,1.012023007,0.724626672,0.900781506
1,817,CANOGA PARK CA  TPNGA  ,34.1887963,-118.6034243,0.978517115,1.104377086,1.037992575,0.892845703,0.978565563,0.982376777,1.048442832,1.24446518,1.055622759,0.860348069,1.158952707,0.832126708,0.723381577,0.921149916,0.966054274,1.222032648,1.062515382,0.524482957,1.18482534,0.930978811,0.973626499,0.780141593,1.096049441,1.120560489,0.8495142,0.984495433,1.100026125,1.045852943,1.08819712,0.808790083,1.072422345,1.079322712,0.89322007,1.172904841,0.800568317,0.857670362,0.986801169,0.935037698,0.99695196,1.037583537,0.99765514,0.816032548,0.936731266,0.819964491,0.839430645,0.838363374,1.002750974,0.966649847,1.307587974,0.988746702,1.076603078,0.953022757,1.500226283,0.953115465,1.075471672,1.204818128,0.926794847,1.076735089,0.800793887,1.046477691
1,818,"CARLSBAD, CA    FORUM  ",33.0714823,-117.2664175,1.06283562,1.094367286,1.082486931,0.995333514,1.005188107,1.035193999,1.003333936,0.899310852,0.996790204,0.994321568,1.066448102,0.900921452,0.875148892,1.097870148,0.929485749,0.89482177,1.080792233,0.736848864,0.957683608,0.839490042,0.962109748,0.985864853,0.960814649,1.056882734,0.938098785,0.916932826,1.124582565,0.844403167,1.059688039,0.845234737,0.80204938,1.115761725,0.956489706,0.957588702,1.052928205,1.0547681,1.023451589,0.853901909,1.037149631,0.838179243,1.020532331,0.896748522,1.04902971,0.933265216,0.798606627,0.850545983,0.951465753,1.055241686,1.424635216,1.021389684,0.882283403,0.918717568,0.897432167,0.760179304,1.075981863,0.654837893,0.733750418,1.051357241,0.864073627,0.80667381
1,1803,SHERMAN OAKS FASHION  ,34.156988,-118.4374399,0.943110075,1.090441948,1.045614325,0.897140915,1.002147146,0.989542438,1.064625898,1.232823158,1.064074678,0.842210549,1.147012619,0.812437313,0.750385725,0.907190697,1.072632162,1.184979939,1.053254805,0.507995102,1.173496141,0.896380278,1.003402212,0.733358126,1.054558634,1.110338082,0.883080179,1.048057477,1.103077257,1.088248709,1.065947338,0.795606808,1.032977094,1.091822402,0.842330393,1.188119237,0.75185743,0.824193948,1.066582039,0.960012526,1.005880286,1.004042755,1.025851164,0.807083231,0.969392408,0.838059299,0.841068992,0.816767371,1.043449211,0.994964352,1.237198812,1.04073187,1.131923141,0.880118669,1.560138892,0.963598235,1.072714505,1.164004526,1.039785959,1.099541699,0.79669178,1.054893413
1,6001,FP MOV CENTURY CITY  ,34.0590031,-118.418866,0.938194744,1.087641969,1.052769741,0.902846583,1.003153725,1.000966259,1.062070999,1.209724023,1.057144848,0.850226852,1.150947771,0.831156705,0.756091554,0.91925451,1.05746844,1.180710046,1.053797742,0.519752005,1.14579555,0.875350573,0.992616945,0.738640481,1.041408356,1.102696809,0.879651557,1.044634605,1.082988497,1.090709419,1.05236812,0.814760498,1.02293352,1.119077527,0.867839538,1.184863573,0.761371075,0.855305025,1.047776707,0.96813219,1.047047397,1.105156858,1.025571196,0.81328977,0.997662286,0.868465431,0.840213236,0.840393404,1.043897501,0.982384637,1.230692581,1.020277981,1.124520662,0.953407105,1.524144258,0.945898364,1.114068882,1.160164171,1.014616835,1.104840612,0.799336915,1.102247447
1,842,CORTE MADERA  VILLAGE  ,37.9296414,-122.515021,0.869637045,1.248934203,0.931332511,0.841459038,0.885595153,1.033944116,0.920895322,1.000226888,0.9711642,0.806470835,1.22132802,1.415520503,0.880055431,0.834071658,1.199743555,1.246913451,0.918070163,0.516979199,1.136539322,0.773204293,0.869243794,0.848871249,0.804544208,1.090833114,1.02695346,0.920657226,1.301878955,1.004771142,0.824485718,0.826213714,0.704628686,1.024768728,0.956399019,0.948358528,0.848203739,0.797698868,1.411022894,1.174716894,1.240682146,1.161033647,1.033618464,1.049359996,1.245507861,0.897370916,0.629306118,0.48368669,1.003952669,1.02357365,1.35595806,1.311524626,1.392930769,0.890445368,0.883413339,1.035095379,1.044040692,2.108897041,1.096033252,1.125291324,0.92165666,1.029523324
