Cluster,StoreNumber,StoreName,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
1,1853,NYC WBWAY & SPRING  ,NEW YORK,10012,NY,A1,METRO,COLD,EAST COAST-NYC DISTRICT,40.7237571,-74.0021582,96137758.8,52124480.37
1,6035,"FP MOV TIBURON, CA  ",BELVEDERE TIBURON,94920,CA,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,37.8734076,-122.4566095,30099642.34,15337789.89
1,853,LAS VEGAS FASHIONMALL  ,LAS VEGAS,89109,NV,F,TRADITIONAL MALL,HOT,CENTRAL-MOUNTAIN DISTRICT,36.1285927,-115.1741869,11500172.2,6863213.55
1,1809,SAN DIEGO U TOWN CTR  ,SAN DIEGO,92122,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-SOUTHERN CALIFORNIA,32.8710546,-117.2114223,28988339.62,15178140.64
1,1817,SAN DIEGO FASHIONVLY  ,SAN DIEGO,92108,CA,A2,TRADITIONAL MALL,MILD,WEST COAST-SOUTHERN CALIFORNIA,32.7681182,-117.1667284,24307973.39,12886625.19
1,817,CANOGA PARK CA  TPNGA  ,CANOGA PARK,91303,CA,A2,TRADITIONAL MALL,MILD,WEST COAST-LOS ANGELES,34.1887963,-118.6034243,59218345.72,30390342.32
1,818,"CARLSBAD, CA    FORUM  ",CARLSBAD,92009,CA,C3,LIFESTYLE CENTER,MILD,WEST COAST-SOUTHERN CALIFORNIA,33.0714823,-117.2664175,21315102.07,11201620.83
1,1803,SHERMAN OAKS FASHION  ,SHERMAN OAKS,91423,CA,F,TRADITIONAL MALL,MILD,WEST COAST-LOS ANGELES,34.156988,-118.4374399,74842099.48,37805683.58
1,6001,FP MOV CENTURY CITY  ,LOS ANGELES,90067,CA,UNKNOWN,UNKNOWN,MILD,WEST COAST-MVMT - WEST COAST,34.0590031,-118.418866,80242390.56,40454530.07
1,842,CORTE MADERA  VILLAGE  ,CORTE MADERA,94925,CA,B3,LIFESTYLE CENTER,MILD,WEST COAST-NORTHERN CALIFORNIA,37.9296414,-122.515021,27228768.55,13839867.93
1,846,STUDIO CITY  VENTURA  ,STUDIO CITY,91604,CA,B3,METRO,MILD,WEST COAST-LOS ANGELES,34.143208,-118.396238,76654266.48,38624031.84
1,877,L.A. WFLD CENTURYCITY  ,LOS ANGELES,90067,CA,F,TRADITIONAL MALL,MILD,WEST COAST-LOS ANGELES,34.0586592,-118.4190309,80235213.96,40453948.85
1,1873,"TUCSON, AZ  ",TUCSON,85718,AZ,F,LIFESTYLE CENTER,HOT,CENTRAL-MOUNTAIN DISTRICT,32.3247425,-110.9299968,3573446.64,2184433.66
1,6008,FP MOV SAN DIEGO CA  ,SAN DIEGO,92108,CA,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,32.7681182,-117.1667284,24307973.39,12886625.19
1,1877,"NAPA, CA  ",NAPA,94559,CA,F,METRO,,WEST COAST-NORTHERN CALIFORNIA,38.2984163,-122.28733,4173072.66,2384814.5
1,1879,"SUMMERLIN, NV  ",LAS VEGAS,89135,NV,UNKNOWN,LIFESTYLE CENTER,,CENTRAL-MOUNTAIN DISTRICT,36.1494793,-115.3333361,10384872.24,6198896.2
1,6011,FP MOV BREA CA  ,BREA,92821,CA,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,33.9153422,-117.8864509,35507754.03,19382068.67
1,1845,"PASADENA, CA  ",PASADENA,91105,CA,C2,METRO,WARM,WEST COAST-LOS ANGELES,34.146054,-118.1535202,55437936.19,28142778.5
1,1860,"PALM SPRINGS, CA  ",PALM SPRINGS,92262,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-LOS ANGELES,33.8243118,-116.546974,3285098.1,1643798.03
1,6012,FP MOV GARDEN CITY  ,GARDEN CITY,11530,NY,UNKNOWN,UNKNOWN,,EAST COAST-MVMT - EAST COAST,40.7382485,-73.6142374,54117949.03,29953194.89
1,1828,"ARCADIA, CA S. ANITA  ",ARCADIA,91007,CA,C3,TRADITIONAL MALL,MILD,WEST COAST-LOS ANGELES,34.1343827,-118.0515692,40194798.22,20445813.98
1,6028,FP MOV THOUSAND OAKS  ,THOUSAND OAKS,91360,CA,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,34.1843078,-118.8881216,14108824.38,7733960.79
1,1841,HUNTINGTON BEACH CA  ,HUNTINGTON BEACH,92648,CA,A2,LIFESTYLE CENTER,HOT,WEST COAST-SOUTHERN CALIFORNIA,33.6549924,-117.9983066,32472255.94,17519302.24
1,1864,"MALIBU, CA  ",MALIBU,90265,CA,F,METRO,MILD,WEST COAST-LOS ANGELES,34.0367346,-118.6848682,44876017.87,23022603.28
1,833,"SANTA BARBARA, CA  FP  ",SANTA BARBARA,93101,CA,C3,METRO,MILD,WEST COAST-LOS ANGELES,34.4229368,-119.7041946,4537601.82,2390501.43
1,825,"SANTA MONICA, CA  ",SANTA MONICA,90405,CA,F,METRO,MILD,WEST COAST-LOS ANGELES,33.9990762,-118.4803309,74058638.23,37138677.19
1,1863,"IRVINE, CA  ",IRVINE,92618,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-SOUTHERN CALIFORNIA,33.649187,-117.7408879,35623707,19243515.93
1,876,"SANTA MONICA PLACE,CA  ",SANTA MONICA,90401,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-LOS ANGELES,34.0141707,-118.4935128,74404953.35,37323326.65
1,1870,"LONG BEACH, CA  ",LONG BEACH,90803,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-SOUTHERN CALIFORNIA,33.7558513,-118.1095401,36640911.22,19978251.1
1,810,"TORRANCE, CA  DEL AMO  ",TORRANCE,90503,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-SOUTHERN CALIFORNIA,33.8310336,-118.3497562,54074454.76,27544592.56
1,816,PALO ALTO CA STANFORD  ,PALO ALTO,94304,CA,A2,TRADITIONAL MALL,MILD,WEST COAST-NORTHERN CALIFORNIA,37.4434982,-122.1709939,18206494.16,9713404.93
1,821,WALNUT CREEK CA OLYMC  ,WALNUT CREEK,94596,CA,A1,METRO,MILD,WEST COAST-NORTHERN CALIFORNIA,37.8963427,-122.0588972,20824732.85,10989649.76
1,828,"MANHATTAN BEACH, CA  ",MANHATTAN BEACH,90266,CA,F,METRO,MILD,WEST COAST-SOUTHERN CALIFORNIA,33.8849436,-118.4094406,60922224.22,30781655.18
1,841,SAN JOSE  SANTANA ROW  ,SANTA CLARA,95050,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-NORTHERN CALIFORNIA,37.3244194,-121.9465798,16013400.37,8723167.7
1,1804,VALENCIA TOWN CTR CA  ,SANTA CLARITA,91355,CA,B3,LIFESTYLE CENTER,MILD,WEST COAST-LOS ANGELES,34.4156094,-118.5573026,17044472.17,9329331.37
1,6031,FP MOV SAN LUIS OBIS  ,SAN LUIS OBISPO,93401,CA,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,35.280614,-120.6614427,3029179.46,1732073.08
1,1876,"LAGUNA BEACH, CA  ",LAGUNA BEACH,92651,CA,F,METRO,,WEST COAST-SOUTHERN CALIFORNIA,33.5422637,-117.7828719,30641341.39,16460386.26
